Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,0.048731193,1.71974636,Tao Silalahi hotel,IDR -,24,26,27,27,27,26,27,26
northeast,0.046310398,1.717087221,"""Sicike-cike"" Nature Park",IDR -,24,26,27,27,27,26,27,26
northeast,0.047703319,1.717084841,"Taman Wisata Iman Sitinjo, Dairi"," IDR 300,000.00 ",23,25,26,26,26,25,26,26
northeast,0.047753283,1.717110206,Air Terjun Jembatan Lae Pendaroh," IDR 20,000.00 ",23,25,26,26,26,25,26,26
northeast,0.047098899,1.715782844,Peak Tree House Sidikalang," IDR 762,300.00 ",23,25,26,26,26,25,26,26
northeast,0.049115081,1.719664538,Tugu Marga Silalahi," IDR 10,000.00 ",23,25,26,26,26,25,26,26
northeast,0.048230385,1.719760219,Aek Sipaulak Hosa Loja,IDR -,23,25,26,26,26,25,26,26
northeast,0.04790114,1.715924279,Taman Rekreasi," IDR 5,000.00 ",23,25,26,26,26,25,26,26
northeast,0.045584093,1.716540561,Air Terjun Lae Mbilulu," IDR 20,000.00 ",23,25,26,26,26,25,26,26
northeast,0.049679065,1.719673266,Pulau Paropo," IDR 5,000.00 ",26,26,27,27,28,26,27,27
northeast,0.047712005,1.717128331,Parks Faith,IDR -,26,26,27,27,28,26,27,27
northeast,0.048045375,1.71588377,Gedung Nasional Djauli Manik,IDR -,26,26,27,27,28,26,27,27
northeast,0.04789231,1.716962955,Taman Wisata Iman," IDR 5,000.00 ",23,25,26,26,26,25,26,26
northeast,0.050616881,1.71934596,Bukit Gajah Bobok," IDR 25,000.00 ",21,21,23,23,23,22,23,22
northeast,0.047706601,1.717086709,Bukit Golgata TWI Sitinjo," IDR 5,000.00 ",21,21,23,23,23,22,23,22
northeast,0.049678653,1.719661124,Perkemahan Paropo," IDR 5,000.00 ",26,26,27,27,28,26,27,27
northeast,0.040674517,1.725829221,Sipinsur Park Geosite and Pine Forest,IDR -,22,24,25,24,25,24,24,24
northeast,0.041217633,1.724694724,Air Terjun Janji," IDR 5,000.00 ",24,26,27,26,27,26,26,26
northeast,0.04030653,1.724514136,Tombak Sulusulu,IDR -,24,26,27,26,27,26,26,26
northeast,0.037252787,1.7189864,Air Terjun Sipulak," IDR 50,000.00 ",23,24,25,25,24,25,25,26
northeast,0.037291995,1.719963827,Air Terjun Pollung," IDR 15,000.00 ",25,25,26,26,26,26,26,27
northeast,0.041006571,1.71788964,Air Terjun Sibabo,IDR -,25,25,26,26,26,26,26,27
northeast,0.039656276,1.71949687,Air Terjun Simolap,IDR -,27,29,31,30,30,29,30,30
northeast,0.040143404,1.724333427,Air Terjun Sitiotio," IDR 5,000.00 ",26,27,26,27,27,27,27,27
northeast,0.040585945,1.725215553,Aek Sipangolu Bakkara," IDR 5,000.00 ",24,26,27,26,27,26,26,26
northeast,0.039155977,1.724309264,Bukit Inspirasi," IDR 5,000.00 ",24,26,27,26,27,26,26,26
northeast,0.04080646,1.724705805,Panatapan Sileme-leme,IDR -,24,26,27,26,27,26,26,26
northeast,0.042266395,1.723974848,Tempat Permandian," IDR 60,000.00 ",24,26,27,26,27,26,26,26
northeast,0.040023397,1.725808843,Simpang Masuk Sipincur," IDR 5,000.00 ",22,24,25,24,25,24,24,24
northeast,0.038620995,1.719916979,objek wisata baronjong aek sirahar," IDR 20,000.00 ",23,24,24,24,24,24,25,26
northeast,0.038519638,1.719729742,Saba Napa," IDR 50,000.00 ",23,24,24,24,24,24,25,26
northeast,0.040264306,1.724626882,Istana Makam Raja Sisingamangaraja," IDR 7,000.00 ",23,24,24,24,24,24,25,26
northeast,0.040510171,1.724861807,BATU HUNDUL-HUNDULAN,IDR -,25,26,27,27,27,27,27,27
northeast,0.04052172,1.724871248,HARIARA TUNGKOT,IDR -,25,26,27,27,27,27,27,27
northeast,0.040424268,1.727554401,Bukit Doa," IDR 20,000.00 ",25,26,27,27,27,27,27,27
northeast,0.040757571,1.726441267,Muara Nauli," IDR 5,000.00 ",29,29,29,30,29,29,30,31
northeast,0.056594098,1.719816573,Air Terjun Sikulikap," IDR 30,000.00 ",21,22,23,23,24,22,27,23
